Category,Longitude,Latitude
5,-136.9399636978536,-78
5,-136.9399636978536,-78
5,-136.9399636978536,-78
5,-136.9399636978536,-78
5,-136.9399636978536,-78
5,-135.78114345319338,-79
5,-135.78114345319338,-79
5,-135.78114345319338,-79
5,-135.78114345319338,-79
5,-135.78114345319338,-79
5,-135.93581423808652,-78
5,-135.93581423808652,-78
5,-135.93581423808652,-78
5,-135.93581423808652,-78
5,-135.93581423808652,-78
5,-135.95034582246058,-77
5,-135.95034582246058,-77
5,-135.95034582246058,-77
5,-135.95034582246058,-77
5,-135.95034582246058,-77
5,-134.85780707771954,-79
5,-134.85780707771954,-79
5,-134.85780707771954,-79
5,-134.85780707771954,-79
5,-134.85780707771954,-79
5,-134.81002604680083,-78
5,-134.81002604680083,-78
5,-134.81002604680083,-78
5,-134.81002604680083,-78
5,-134.81002604680083,-78
5,-134.88457278610727,-77
5,-134.88457278610727,-77
5,-134.88457278610727,-77
5,-134.88457278610727,-77
5,-134.88457278610727,-77
5,-133.9653710138587,-79
5,-133.9653710138587,-79
5,-133.9653710138587,-79
5,-133.9653710138587,-79
5,-133.9653710138587,-79
5,-133.87231710959097,-78
5,-133.87231710959097,-78
5,-133.87231710959097,-78
5,-133.87231710959097,-78
5,-133.87231710959097,-78
5,-133.87008373709355,-77
5,-133.87008373709355,-77
5,-133.87008373709355,-77
5,-133.87008373709355,-77
5,-133.87008373709355,-77
5,-133.87706538104052,-76
5,-133.87706538104052,-76
5,-133.87706538104052,-76
5,-133.87706538104052,-76
5,-133.87706538104052,-76
5,-132.96408777444356,-79
5,-132.96408777444356,-79
5,-132.96408777444356,-79
5,-132.96408777444356,-79
5,-132.96408777444356,-79
5,-132.9217463087041,-78
5,-132.9217463087041,-78
5,-132.9217463087041,-78
5,-132.9217463087041,-78
5,-132.9217463087041,-78
5,-132.99027745563836,-77
5,-132.99027745563836,-77
5,-132.99027745563836,-77
5,-132.99027745563836,-77
5,-132.99027745563836,-77
5,-132.80902171469884,-76
5,-132.80902171469884,-76
5,-132.80902171469884,-76
5,-132.80902171469884,-76
5,-132.80902171469884,-76
5,-131.8972590568767,-79
5,-131.8972590568767,-79
5,-131.8972590568767,-79
5,-131.8972590568767,-79
5,-131.8972590568767,-79
5,-131.8151945559944,-78
5,-131.8151945559944,-78
5,-131.8151945559944,-78
5,-131.8151945559944,-78
5,-131.8151945559944,-78
5,-131.97696426281863,-77
5,-131.97696426281863,-77
5,-131.97696426281863,-77
5,-131.97696426281863,-77
5,-131.97696426281863,-77
5,-131.90202524694837,-76
5,-131.90202524694837,-76
5,-131.90202524694837,-76
5,-131.90202524694837,-76
5,-131.90202524694837,-76
5,-131.92629400110738,-75
5,-131.92629400110738,-75
5,-131.92629400110738,-75
5,-131.92629400110738,-75
5,-131.92629400110738,-75
5,-130.96245454068458,-79
5,-130.96245454068458,-79
5,-130.96245454068458,-79
5,-130.96245454068458,-79
