Category,Longitude,Latitude
5,-132.87800551202596,-81
5,-132.87800551202596,-81
5,-132.87800551202596,-81
5,-132.87800551202596,-81
5,-132.87800551202596,-81
5,-132.78167330131112,-80
5,-132.78167330131112,-80
5,-132.78167330131112,-80
5,-132.78167330131112,-80
5,-132.78167330131112,-80
5,-132.8745325102015,-79
5,-132.8745325102015,-79
5,-132.8745325102015,-79
5,-132.8745325102015,-79
5,-132.8745325102015,-79
5,-131.7816611595925,-82
5,-131.7816611595925,-82
5,-131.7816611595925,-82
5,-131.7816611595925,-82
5,-131.7816611595925,-82
5,-131.98481228211105,-81
5,-131.98481228211105,-81
5,-131.98481228211105,-81
5,-131.98481228211105,-81
5,-131.98481228211105,-81
5,-131.91471121538223,-80
5,-131.91471121538223,-80
5,-131.91471121538223,-80
5,-131.91471121538223,-80
5,-131.91471121538223,-80
5,-131.76748989358865,-79
5,-131.76748989358865,-79
5,-131.76748989358865,-79
5,-131.76748989358865,-79
5,-131.76748989358865,-79
5,-131.79347534456824,-78
5,-131.79347534456824,-78
5,-131.79347534456824,-78
5,-131.79347534456824,-78
5,-131.79347534456824,-78
5,-131.96637292759672,-77
5,-131.96637292759672,-77
5,-131.96637292759672,-77
5,-131.96637292759672,-77
5,-131.96637292759672,-77
5,-130.98306640629224,-83
5,-130.98306640629224,-83
5,-130.98306640629224,-83
5,-130.98306640629224,-83
5,-130.98306640629224,-83
5,-130.88580096404814,-82
5,-130.88580096404814,-82
5,-130.88580096404814,-82
5,-130.88580096404814,-82
5,-130.88580096404814,-82
5,-130.89675828323206,-81
5,-130.89675828323206,-81
5,-130.89675828323206,-81
5,-130.89675828323206,-81
5,-130.89675828323206,-81
5,-130.7790023943078,-80
5,-130.7790023943078,-80
5,-130.7790023943078,-80
5,-130.7790023943078,-80
5,-130.7790023943078,-80
5,-130.9957066709228,-79
5,-130.9957066709228,-79
5,-130.9957066709228,-79
5,-130.9957066709228,-79
5,-130.9957066709228,-79
5,-130.97409841050967,-78
5,-130.97409841050967,-78
5,-130.97409841050967,-78
5,-130.97409841050967,-78
